f(x),g(x),h(x),i(x),j(x),y
101.0,-1.2810525855364308,0.09983341664682815,0.9887710779360422,1.02,101.82755190904643
101.03149694780697,-1.2759845905622649,0.10968875479739276,0.9864405426004831,1.021981981981982,101.87362363662456
101.06027297563648,-1.270936645173376,0.11953332090777244,0.9838920432257962,1.023963963963964,101.91672565856064
101.08676103275455,-1.2659086700512425,0.12936614818732448,0.981126142928757,1.025945945945946,101.95729059976534
101.11129830520231,-1.2609005861911358,0.1391862709982241,0.9781434528630788,1.0279279279279279,101.9956553708004
101.13415252901474,-1.2559123149008797,0.14899272495029534,0.9749446320843722,1.0299099099099098,102.03208748105843
101.15553984375383,-1.2509437777996135,0.15878454699571948,0.9715303874045201,1.0318918918918918,102.06680289224633
101.1756372538392,-1.24599489681656,0.1685607755236117,0.9679014732355009,1.033873873873874,102.09997847965563
101.19459154113738,-1.2410655941897997,0.17832045045445657,0.9640586914226925,1.035855855855856,102.13176094468058
101.21252577646838,-1.2361557924650481,0.18806261333439298,0.9600028910676974,1.037837837837838,102.16227332624328
101.22954416673514,-1.2312654144944393,0.19778630742933984,0.9557349683407246,1.0398198198198199,102.19161984783058
101.24573572345132,-1.2263943834353126,0.2074905778189525,0.9512558662825719,1.0418018018018018,102.21988958591933
101.26117708067608,-1.2215426227490074,0.21717447149040112,0.9465665745962514,1.0437837837837838,102.24715928779749
101.27593468856874,-1.2167100561996573,0.22683703743196207,0.9416681294283045,1.0457657657657657,102.27349556499512
101.29006654155796,-1.2118966078529956,0.23647732672641208,0.9365616131398552,1.0477477477477477,102.298956621319
101.3036235548016,-1.2071022020751594,0.24609439264421765,0.9312481540674508,1.0497297297297297,102.32359362916785
101.31665067148244,-1.2023267635315027,0.25568729073650864,0.925728926273745,1.0517117117117116,102.3474518366729
101.32918776173102,-1.1975702171854126,0.26525507892782857,0.9200051492880766,1.0536936936936936,102.37057146645519
101.34127035852848,-1.1928324882971286,0.2747968176086517,0.9140780878370027,1.0556756756756758,102.39298845135266
101.35293026482715,-1.188113502422571,0.2843115697276579,0.9079490515648433,1.0576576576576577,102.41473504135475
101.36419605802158,-1.1834131854121692,0.2937984008837557,0.9016193947443035,1.0596396396396397,102.43584030787711
101.37509351191676,-1.1787314634096964,0.3032563794178465,0.8950905159772324,1.0616216216216217,102.45633056552377
101.38564595187366,-1.1740682628511103,0.3126845765043179,0.8883638578855879,1.0636036036036036,102.47622972701608
101.39587455544147,-1.1694235104633965,0.3220820662422599,0.8814409067926751,1.0655855855855856,102.49555960359858
101.40579860821936,-1.1647971332634173,0.33144792574639326,0.8743231923947279,1.0675675675675675,102.51434016066462
101.4154357227175,-1.1601890585567651,0.3407812352377022,0.8670122874229068,1.0695495495495495,102.5325897363709
101.42480202645828,-1.1555992139366194,0.3500810781337613,0.8595098072957886,1.0715315315315315,102.55032522948274
